Dataset_Name,Valuation_Profile,Dataset_Group,Business_Line,Value_Date
DATASET_1,PROFILE_1,GROUP_1,B_LINE_1,23-03-2020
DATASET_1_LMM,PROFILE_1,GROUP_1,B_LINE_1,23-03-2020
DATASET_2,PROFILE_1,GROUP_1,B_LINE_1,23-03-2020
DATASET_FLOW1,PROFILE_1,GROUP_1,B_LINE_2,23-03-2020
DATASET_FLOW2,PROFILE_1,GROUP_1,B_LINE_2,23-03-2020
DATASET_FLOW3,PROFILE_1,GROUP_1,B_LINE_2,23-03-2020
DATASET_1,PROFILE_2,GROUP_1,B_LINE_1,23-03-2020
DATASET_1_LMM,PROFILE_2,GROUP_1,B_LINE_1,23-03-2020
DATASET_2,PROFILE_2,GROUP_1,B_LINE_1,23-03-2020
DATASET_FLOW1,PROFILE_2,GROUP_1,B_LINE_2,23-03-2020
DATASET_FLOW2,PROFILE_2,GROUP_1,B_LINE_2,23-03-2020
DATASET_FLOW3,PROFILE_2,GROUP_1,B_LINE_2,23-03-2020
DATASET_1,PROFILE_1,GROUP_2,B_LINE_1,23-03-2020
DATASET_1_LMM,PROFILE_1,GROUP_2,B_LINE_1,23-03-2020
DATASET_2,PROFILE_1,GROUP_2,B_LINE_1,23-03-2020
DATASET_FLOW1,PROFILE_1,GROUP_2,B_LINE_2,23-03-2020
DATASET_FLOW2,PROFILE_1,GROUP_2,B_LINE_2,23-03-2020
DATASET_FLOW3,PROFILE_1,GROUP_2,B_LINE_2,23-03-2020
DATASET_1,PROFILE_2,GROUP_2,B_LINE_1,23-03-2020
DATASET_1_LMM,PROFILE_2,GROUP_2,B_LINE_1,23-03-2020
DATASET_2,PROFILE_2,GROUP_2,B_LINE_1,23-03-2020
DATASET_FLOW1,PROFILE_2,GROUP_2,B_LINE_2,23-03-2020
DATASET_FLOW2,PROFILE_2,GROUP_2,B_LINE_2,23-03-2020
DATASET_FLOW3,PROFILE_2,GROUP_2,B_LINE_2,23-03-2020
DATASET_3,PROFILE_3,,B_LINE_3,23-03-2020
DATASET_4,PROFILE_3,,B_LINE_3,23-03-2020
DATASET_3,PROFILE_4,,B_LINE_3,23-03-2020
DATASET_4,PROFILE_4,,B_LINE_3,23-03-2020
DATASET_3,PROFILE_5,,B_LINE_3,23-03-2020
DATASET_4,PROFILE_5,,B_LINE_3,23-03-2020
DATASET_1,PROFILE_1,GROUP_1,B_LINE_1,24-03-2020
DATASET_1_LMM,PROFILE_1,GROUP_1,B_LINE_1,24-03-2020
DATASET_2,PROFILE_1,GROUP_1,B_LINE_1,24-03-2020
DATASET_FLOW1,PROFILE_1,GROUP_1,B_LINE_2,24-03-2020
DATASET_FLOW2,PROFILE_1,GROUP_1,B_LINE_2,24-03-2020
DATASET_FLOW3,PROFILE_1,GROUP_1,B_LINE_2,24-03-2020
DATASET_1,PROFILE_2,GROUP_1,B_LINE_1,24-03-2020
DATASET_1_LMM,PROFILE_2,GROUP_1,B_LINE_1,24-03-2020
DATASET_2,PROFILE_2,GROUP_1,B_LINE_1,24-03-2020
DATASET_FLOW1,PROFILE_2,GROUP_1,B_LINE_2,24-03-2020
DATASET_FLOW2,PROFILE_2,GROUP_1,B_LINE_2,24-03-2020
DATASET_FLOW3,PROFILE_2,GROUP_1,B_LINE_2,24-03-2020
DATASET_1,PROFILE_1,GROUP_2,B_LINE_1,24-03-2020
DATASET_1_LMM,PROFILE_1,GROUP_2,B_LINE_1,24-03-2020
DATASET_2,PROFILE_1,GROUP_2,B_LINE_1,24-03-2020
DATASET_FLOW1,PROFILE_1,GROUP_2,B_LINE_2,24-03-2020
DATASET_FLOW2,PROFILE_1,GROUP_2,B_LINE_2,24-03-2020
DATASET_FLOW3,PROFILE_1,GROUP_2,B_LINE_2,24-03-2020
DATASET_1,PROFILE_2,GROUP_2,B_LINE_1,24-03-2020
DATASET_1_LMM,PROFILE_2,GROUP_2,B_LINE_1,24-03-2020
DATASET_2,PROFILE_2,GROUP_2,B_LINE_1,24-03-2020
DATASET_FLOW1,PROFILE_2,GROUP_2,B_LINE_2,24-03-2020
DATASET_FLOW2,PROFILE_2,GROUP_2,B_LINE_2,24-03-2020
DATASET_FLOW3,PROFILE_2,GROUP_2,B_LINE_2,24-03-2020
DATASET_3,PROFILE_3,,B_LINE_3,24-03-2020
DATASET_4,PROFILE_3,,B_LINE_3,24-03-2020
DATASET_3,PROFILE_4,,B_LINE_3,24-03-2020
DATASET_4,PROFILE_4,,B_LINE_3,24-03-2020
DATASET_3,PROFILE_5,,B_LINE_3,24-03-2020
DATASET_4,PROFILE_5,,B_LINE_3,24-03-2020
DATASET_1,PROFILE_1,GROUP_1,B_LINE_1,25-03-2020
DATASET_1_LMM,PROFILE_1,GROUP_1,B_LINE_1,25-03-2020
DATASET_2,PROFILE_1,GROUP_1,B_LINE_1,25-03-2020
DATASET_FLOW1,PROFILE_1,GROUP_1,B_LINE_2,25-03-2020
DATASET_FLOW2,PROFILE_1,GROUP_1,B_LINE_2,25-03-2020
DATASET_FLOW3,PROFILE_1,GROUP_1,B_LINE_2,25-03-2020
DATASET_1,PROFILE_2,GROUP_1,B_LINE_1,25-03-2020
DATASET_1_LMM,PROFILE_2,GROUP_1,B_LINE_1,25-03-2020
DATASET_2,PROFILE_2,GROUP_1,B_LINE_1,25-03-2020
DATASET_FLOW1,PROFILE_2,GROUP_1,B_LINE_2,25-03-2020
DATASET_FLOW2,PROFILE_2,GROUP_1,B_LINE_2,25-03-2020
DATASET_FLOW3,PROFILE_2,GROUP_1,B_LINE_2,25-03-2020
DATASET_1,PROFILE_1,GROUP_2,B_LINE_1,25-03-2020
DATASET_1_LMM,PROFILE_1,GROUP_2,B_LINE_1,25-03-2020
DATASET_2,PROFILE_1,GROUP_2,B_LINE_1,25-03-2020
DATASET_FLOW1,PROFILE_1,GROUP_2,B_LINE_2,25-03-2020
DATASET_FLOW2,PROFILE_1,GROUP_2,B_LINE_2,25-03-2020
DATASET_FLOW3,PROFILE_1,GROUP_2,B_LINE_2,25-03-2020
DATASET_1,PROFILE_2,GROUP_2,B_LINE_1,25-03-2020
DATASET_1_LMM,PROFILE_2,GROUP_2,B_LINE_1,25-03-2020
DATASET_2,PROFILE_2,GROUP_2,B_LINE_1,25-03-2020
DATASET_FLOW1,PROFILE_2,GROUP_2,B_LINE_2,25-03-2020
DATASET_FLOW2,PROFILE_2,GROUP_2,B_LINE_2,25-03-2020
DATASET_FLOW3,PROFILE_2,GROUP_2,B_LINE_2,25-03-2020
DATASET_3,PROFILE_3,,B_LINE_3,25-03-2020
DATASET_4,PROFILE_3,,B_LINE_3,25-03-2020
DATASET_3,PROFILE_4,,B_LINE_3,25-03-2020
DATASET_4,PROFILE_4,,B_LINE_3,25-03-2020
DATASET_3,PROFILE_5,,B_LINE_3,25-03-2020
DATASET_4,PROFILE_5,,B_LINE_3,25-03-2020
DATASET_1,PROFILE_1,GROUP_1,B_LINE_1,26-03-2020
DATASET_1_LMM,PROFILE_1,GROUP_1,B_LINE_1,26-03-2020
